method,mean_exam,per5,per10,per20
OAM_win1,0.1296,0.4494,0.5787,0.7135
OAP_win1,0.2994,0.0281,0.1067,0.2809
OGM_win1,0.1569,0.2247,0.4663,0.7079
OGP_win1,0.3359,0.0225,0.0449,0.2022
TAM_win1,0.1258,0.4607,0.573,0.7247
TAP_win1,0.2822,0.0506,0.1292,0.3258
TGM_win1,0.1517,0.2753,0.4775,0.7135
TGP_win1,0.3051,0.0506,0.0899,0.2528
DAM_win1,0.1375,0.4157,0.5562,0.7079
DAP_win1,0.2851,0.0337,0.1124,0.3315
DGM_win1,0.1606,0.264,0.4663,0.691
DGP_win1,0.3143,0.0225,0.073,0.2528
ZAM_win1,0.1321,0.4551,0.5787,0.7022
ZAP_win1,0.3059,0.0281,0.1011,0.2697
ZGM_win1,0.1578,0.2303,0.4775,0.7079
ZGP_win1,0.3518,0.0225,0.0393,0.1629
JAM_win1,0.1363,0.4213,0.5506,0.7022
JAP_win1,0.2828,0.0337,0.1236,0.3315
JGM_win1,0.1589,0.2584,0.4551,0.7022
JGP_win1,0.3112,0.0225,0.073,0.2472
OAM_win2,0.1235,0.4719,0.5843,0.7416
OAP_win2,0.301,0.0506,0.1124,0.264
OGM_win2,0.1551,0.236,0.4831,0.7135
OGP_win2,0.3316,0.0112,0.0618,0.2135
TAM_win2,0.1215,0.4719,0.5899,0.736
TAP_win2,0.2833,0.0506,0.1517,0.2978
TGM_win2,0.1513,0.2921,0.5,0.7135
TGP_win2,0.3027,0.0393,0.1124,0.264
DAM_win2,0.1343,0.427,0.5674,0.7191
DAP_win2,0.2831,0.0449,0.1404,0.3315
DGM_win2,0.1593,0.2528,0.4944,0.6966
DGP_win2,0.3115,0.0225,0.0843,0.2528
ZAM_win2,0.126,0.4663,0.5899,0.7247
ZAP_win2,0.3075,0.0393,0.1011,0.2528
ZGM_win2,0.1585,0.2303,0.4775,0.7022
ZGP_win2,0.3463,0.0056,0.0562,0.1685
JAM_win2,0.1331,0.427,0.5674,0.7247
JAP_win2,0.2811,0.0449,0.1404,0.3315
JGM_win2,0.1583,0.264,0.4944,0.7135
JGP_win2,0.3085,0.0225,0.0899,0.2584
OAM_win3,0.1199,0.4719,0.5955,0.7584
OAP_win3,0.3037,0.0449,0.1292,0.264
OGM_win3,0.1536,0.2472,0.4831,0.7079
OGP_win3,0.3296,0.0169,0.073,0.2247
TAM_win3,0.1201,0.4607,0.5955,0.7528
TAP_win3,0.2846,0.0562,0.1629,0.3146
TGM_win3,0.1524,0.2865,0.5056,0.7022
TGP_win3,0.3004,0.0337,0.118,0.2697
DAM_win3,0.1325,0.4101,0.5787,0.7303
DAP_win3,0.2836,0.0393,0.1517,0.3315
DGM_win3,0.1602,0.2528,0.4888,0.6742
DGP_win3,0.3101,0.0225,0.0899,0.2528
ZAM_win3,0.1236,0.4831,0.6067,0.7472
ZAP_win3,0.312,0.0393,0.1011,0.2528
ZGM_win3,0.1585,0.2303,0.4775,0.6966
ZGP_win3,0.3433,0,0.0562,0.191
JAM_win3,0.1345,0.4101,0.5674,0.7303
JAP_win3,0.282,0.0449,0.1517,0.3315
JGM_win3,0.1592,0.264,0.4944,0.6742
JGP_win3,0.3074,0.0225,0.0955,0.264
OAM_win4,0.117,0.4888,0.6011,0.7584
OAP_win4,0.3042,0.0449,0.1461,0.264
OGM_win4,0.1526,0.2416,0.5,0.7022
OGP_win4,0.3266,0.0112,0.0843,0.2191
TAM_win4,0.1201,0.4719,0.6011,0.7528
TAP_win4,0.2838,0.0618,0.1685,0.3202
TGM_win4,0.1493,0.2865,0.5169,0.7022
TGP_win4,0.2989,0.0281,0.1067,0.2978
DAM_win4,0.1347,0.3989,0.573,0.7247
DAP_win4,0.2828,0.0506,0.1517,0.3539
DGM_win4,0.1619,0.2416,0.4888,0.6742
DGP_win4,0.3072,0.0112,0.0955,0.2697
ZAM_win4,0.1207,0.4775,0.5955,0.7584
ZAP_win4,0.3117,0.0337,0.118,0.2528
ZGM_win4,0.1588,0.2247,0.4888,0.691
ZGP_win4,0.3404,0.0056,0.0674,0.2022
JAM_win4,0.1343,0.4045,0.573,0.7247
JAP_win4,0.2813,0.0506,0.1517,0.3596
JGM_win4,0.1606,0.2416,0.4944,0.6798
JGP_win4,0.3043,0.0112,0.1011,0.2865
OAM_win5,0.1164,0.4888,0.6124,0.7584
OAP_win5,0.3035,0.0393,0.1461,0.2809
OGM_win5,0.1543,0.2247,0.4944,0.691
OGP_win5,0.3261,0.0169,0.0899,0.2191
TAM_win5,0.1197,0.4551,0.6011,0.7528
TAP_win5,0.2839,0.0618,0.1685,0.3315
TGM_win5,0.1508,0.2697,0.5112,0.6966
TGP_win5,0.2984,0.0281,0.1067,0.2921
DAM_win5,0.137,0.3933,0.5674,0.7191
DAP_win5,0.2833,0.0449,0.1573,0.3596
DGM_win5,0.163,0.2135,0.4888,0.6742
DGP_win5,0.3063,0.0112,0.0843,0.2865
ZAM_win5,0.1176,0.4944,0.6011,0.7528
ZAP_win5,0.3119,0.0281,0.1236,0.2697
ZGM_win5,0.1596,0.2135,0.4831,0.6854
ZGP_win5,0.3399,0.0056,0.0618,0.2022
JAM_win5,0.1359,0.3989,0.5674,0.7303
JAP_win5,0.2814,0.0449,0.1629,0.3596
JGM_win5,0.162,0.2247,0.4944,0.6854
JGP_win5,0.3036,0.0112,0.0843,0.2921
OAM_win6,0.1153,0.4775,0.6067,0.7584
OAP_win6,0.3046,0.0281,0.1348,0.2865
OGM_win6,0.153,0.236,0.4888,0.7022
OGP_win6,0.3266,0.0169,0.073,0.2303
TAM_win6,0.1204,0.4438,0.6011,0.7528
TAP_win6,0.2845,0.0506,0.1629,0.3258
TGM_win6,0.1515,0.2753,0.5,0.7135
TGP_win6,0.3002,0.0225,0.1011,0.3034
DAM_win6,0.1371,0.3876,0.5618,0.7303
DAP_win6,0.2846,0.0506,0.1517,0.3652
DGM_win6,0.1617,0.236,0.4775,0.6966
DGP_win6,0.3074,0.0169,0.0843,0.2978
ZAM_win6,0.1185,0.4775,0.6011,0.7472
ZAP_win6,0.313,0.0281,0.118,0.2809
ZGM_win6,0.1593,0.2022,0.4944,0.7079
ZGP_win6,0.3401,0,0.0562,0.1966
JAM_win6,0.1357,0.3933,0.5674,0.7416
JAP_win6,0.282,0.0506,0.1629,0.3596
JGM_win6,0.1606,0.236,0.4888,0.7022
JGP_win6,0.3046,0.0169,0.0843,0.3034
OAM_win7,0.1154,0.4719,0.6011,0.764
OAP_win7,0.3073,0.0281,0.1124,0.2978
OGM_win7,0.1556,0.2472,0.4663,0.7079
OGP_win7,0.3297,0.0112,0.0674,0.236
TAM_win7,0.1205,0.4494,0.6011,0.7584
TAP_win7,0.2861,0.0506,0.1629,0.3202
TGM_win7,0.1532,0.2753,0.4944,0.7079
TGP_win7,0.3025,0.0169,0.0955,0.3034
DAM_win7,0.1362,0.3933,0.5562,0.7303
DAP_win7,0.2871,0.0449,0.1517,0.3539
DGM_win7,0.1634,0.2472,0.4607,0.6685
DGP_win7,0.3103,0.0112,0.073,0.2809
ZAM_win7,0.118,0.4831,0.6124,0.7584
ZAP_win7,0.3146,0.0225,0.1067,0.2865
ZGM_win7,0.1604,0.236,0.4607,0.7079
ZGP_win7,0.3428,0.0056,0.0506,0.1966
JAM_win7,0.135,0.3989,0.5618,0.7416
JAP_win7,0.2846,0.0449,0.1573,0.3483
JGM_win7,0.1622,0.2472,0.4775,0.6966
JGP_win7,0.3076,0.0169,0.073,0.2921
OAM_win8,0.1171,0.4775,0.6067,0.7584
OAP_win8,0.3075,0.0281,0.1011,0.2978
OGM_win8,0.1569,0.2584,0.4663,0.7079
OGP_win8,0.3296,0.0169,0.0674,0.2247
TAM_win8,0.1232,0.4663,0.5899,0.7472
TAP_win8,0.2872,0.0506,0.1573,0.3258
TGM_win8,0.1553,0.264,0.4831,0.7079
TGP_win8,0.304,0.0225,0.0955,0.2978
DAM_win8,0.1369,0.3933,0.5506,0.7247
DAP_win8,0.2876,0.0393,0.1461,0.3652
DGM_win8,0.1653,0.2303,0.4607,0.6685
DGP_win8,0.3108,0.0169,0.073,0.2809
ZAM_win8,0.1174,0.4831,0.6124,0.7528
ZAP_win8,0.315,0.0225,0.0955,0.2809
ZGM_win8,0.1604,0.2079,0.4607,0.7079
ZGP_win8,0.3426,0.0112,0.0562,0.2022
JAM_win8,0.1356,0.3933,0.5562,0.736
JAP_win8,0.286,0.0393,0.1573,0.3539
JGM_win8,0.1641,0.2303,0.4719,0.6798
JGP_win8,0.3085,0.0169,0.0787,0.2809
OAM_win9,0.1203,0.4775,0.6067,0.7528
OAP_win9,0.3072,0.0337,0.1067,0.2978
OGM_win9,0.1594,0.236,0.4663,0.7022
OGP_win9,0.329,0.0169,0.073,0.2416
TAM_win9,0.1229,0.4494,0.5899,0.7528
TAP_win9,0.2872,0.0506,0.1404,0.3371
TGM_win9,0.1565,0.2472,0.4663,0.7022
TGP_win9,0.3043,0.0281,0.0955,0.2978
DAM_win9,0.1377,0.3876,0.5337,0.7247
DAP_win9,0.2879,0.0393,0.1348,0.3708
DGM_win9,0.1663,0.236,0.4607,0.6742
DGP_win9,0.3118,0.0112,0.0843,0.2865
ZAM_win9,0.1184,0.4888,0.6124,0.764
ZAP_win9,0.3148,0.0281,0.0899,0.2865
ZGM_win9,0.1617,0.2079,0.4494,0.7022
DGP_win9,0.3418,0.0112,0.0618,0.2022
JAM_win9,0.1364,0.3876,0.5506,0.736
JAP_win9,0.2864,0.0449,0.1461,0.3596
JGM_win9,0.1649,0.2472,0.4551,0.6854
JGP_win9,0.3095,0.0169,0.0843,0.2865
